ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
2652,simple,BSA-00212-C,,Wrist Pincushion,1,0,visible,Keep your pins handy with this comfortable Wrist Pincushion.,The Wrist Pincushion is a convenient tool for storing and accessing your pins while sewing or crafting. Simply strap it onto your wrist for easy access while keeping your work area organized. Never lose track of your pins again with this handy accessory.,,,taxable,,1,152,,0,0,0.01,,,,1,,3500,4000,Needles & Pins,,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0001.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0001-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0001-2.jpg",,,,,,,,,0,,,,,,,,,
2659,simple,BSA-00213-C,,Magnetic Wrist Pin Holder,1,0,visible,Keep your pins close at hand with this magnetic wrist pin holder.,"Never lose track of your pins again with this convenient magnetic wrist pin holder. Simply attach it to your wrist and easily grab pins as you work on your sewing or crafting projects. The strong magnet securely holds pins in place, allowing for easy access and organization. Perfect for keeping your workspace tidy and efficient.",,,taxable,,1,1,,0,0,0.1,,,,1,,8000,9000,Needles & Pins,,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0002.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0002-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0002-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0002-3.jpg",,,,,,,,,0,,,,,,,,,
2660,simple,BSA-00214-C,,Wool Comb,1,0,visible,Keep your wool garments looking fresh with this handy wool comb.,"The Wool Comb is a must-have tool for removing pills and fuzz from your favorite wool items, keeping them looking new and pristine. Perfect for sweaters, scarves, and more.",,,taxable,,1,15,,0,0,0.02,,,,1,,4500,5000,Shavers & Cleaners,,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0003.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0003-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0003-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0003-3.jpg",,,,,,,,,0,,,,,,,,,
2661,simple,BSA-00215-C,,Wooden Tambour Hook,1,0,visible,Create beautiful embroidery designs with ease using our Wooden Tambour Hook.,"Our Wooden Tambour Hook is a must-have tool for any embroidery enthusiast. Crafted from high-quality wood, this hook allows for smooth and precise stitching, making it easier than ever to create intricate designs. Add this essential tool to your collection and elevate your embroidery projects to the next level.",,,taxable,,1,,,0,0,0.01,,,,1,,10000,11000,Embroidery Tools,,,https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0004.jpg,,,,,,,,,0,,,,,,,,,
2663,simple,BSA-00216-C,,Wooden Seam Ripper,1,0,visible,Precision wooden seam ripper for effortless thread removal.,Our wooden seam ripper is crafted for precision thread removal. Its comfortable handle and sharp blade make it easy to undo stitching without damaging fabric. Perfect for all sewing projects.,,,taxable,,1,218,,0,0,0.02,,,,1,,1200,1400,Cutters and Scissors,,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0005.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0005-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0005-2.jpg",,,,,,,,,0,,Color,Brown,1,1,,,,
2664,simple,BSA-00217-C,,Wooden Pincushion,1,0,visible,Keep your needles and pins organized with this charming Wooden Pincushion.,"This handmade Wooden Pincushion is perfect for storing and organizing your needles and pins while adding a touch of rustic charm to your sewing space. Made from high-quality wood, this pincushion is durable and will keep your needles and pins secure. A must-have accessory for any sewing enthusiast.",,,taxable,,1,67,,0,0,0.04,,,,1,,4500,5000,Needles & Pins,,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0006.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0006-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0006-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0006-3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0006-4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0006-5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0006-6.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0006-7.jpg",,,,,,,,,0,,,,,,,,,
2665,simple,BSA-00218-C,,Wonder Tape,1,0,visible,Experience the magic of Wonder Tape for all your crafting and DIY projects.,"Wonder Tape is a versatile and strong adhesive tape that is perfect for all your crafting, scrapbooking, and DIY projects. With its nano-technology, this tape provides a secure bond without leaving any residue behind. Say goodbye to messy glue and unreliable tapes, and say hello to Wonder Tape for all your creative needs.",,,taxable,,1,44,,0,0,0.04,,,,1,,5500,6500,Tapes & Tape Makers,,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0007.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0007-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0007-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0007-3.jpg",,,,,,,,,0,,Color,White,1,1,,,,
2666,simple,BSA-00219-C,,Wide German Tape,1,0,visible,Create precise patterns with ease using the Wide German Tape ruler.,"The Wide German Tape ruler is a must-have tool for pattern drafting, featuring clear markings and a sturdy design for accurate measurements. Perfect for professional seamstresses and hobbyists alike.",,,taxable,,0,,,0,0,0.03,,,,1,,2000,2500,Pattern Drafting Tools > Rulers & Curves,,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0008.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0008-1.jpg",,,,,,,,,0,,Color,Yellow,1,1,,,,
2667,simple,BSA-00220-C,,Universal Buttonhole Attachment,1,0,visible,Easily create buttonholes on any sewing machine with the Universal Buttonhole Attachment.,The Universal Buttonhole Attachment allows you to effortlessly create perfect buttonholes on any sewing machine. This versatile attachment is compatible with a wide range of machines and is a must-have for any sewing enthusiast. Say goodbye to tedious manual buttonhole making and streamline your sewing projects with this convenient attachment.,,,taxable,,1,30,,0,0,0.8,,,,1,,,62000,"Sewing Machine Foot > Industrial Foots & Attachments, Sewing Machine Foot > Manual Blackhead Foots, Sewing Machine Foot",,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-3.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-4.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-5.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-6.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-7.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-8.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-9.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-10.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0009-11.jpg",,,,,,,,,0,,Color,Silver,1,1,,,,
2668,simple,BSA-00221-C,,Universal Seam Guide,1,0,visible,Achieve precise seam allowances with the Universal Seam Guide for your sewing machine.,"The Universal Seam Guide is a must-have attachment for any sewing enthusiast. Easily attach it to your sewing machine foot to ensure accurate seam allowances every time. Compatible with a variety of sewing machines, this guide will help you achieve professional-looking results on all your sewing projects.",,,taxable,,1,219,,0,0,0.03,,,,1,,5500,6500,"Sewing Machine Foot > Industrial Foots & Attachments, Sewing Machine Foot > Manual Blackhead Foots, Sewing Machine Foot",,,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0010.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0010-1.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0010-2.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/image_0010-3.jpg",,,,,,,,,0,,,,,,,,,
